,Country,Data
10,Italy,"[{'GDP': 40385288344.1911}, {'GDP': 44842760293.1924}, {'GDP': 50383891898.9911}, {'GDP': 57710743059.8341}, {'GDP': 63175417019.0094}, {'GDP': 67978153850.5191}, {'GDP': 73654870011.2757}, {'GDP': 81133120065.4202}, {'GDP': 87942231678.3505}, {'GDP': 97085082807.3751}, {'GDP': 113395315985.13}, {'GDP': 124672365792.759}, {'GDP': 145260039840.637}, {'GDP': 175492055795.417}, {'GDP': 199564489431.378}, {'GDP': 227695851126.928}, {'GDP': 224717278436.846}, {'GDP': 257596313364.055}, {'GDP': 315058323066.393}, {'GDP': 393677161500.816}, {'GDP': 477256775943.929}, {'GDP': 430702851303.015}, {'GDP': 427272645669.291}, {'GDP': 443042373788.883}, {'GDP': 437887689001.543}, {'GDP': 452217492140.757}, {'GDP': 640386352773.087}, {'GDP': 805713128174.485}, {'GDP': 891608957155.608}, {'GDP': 928661332204.347}, {'GDP': 1181222653522.95}, {'GDP': 1246220156079.29}, {'GDP': 1320161644933.23}, {'GDP': 1064958075550.63}, {'GDP': 1099216688280.5}, {'GDP': 1174662070605.02}, {'GDP': 1312426527795.21}, {'GDP': 1241879604365.62}, {'GDP': 1270052525928.4}, {'GDP': 1252023758789.69}, {'GDP': 1143829832319.88}, {'GDP': 1167012796420.58}, {'GDP': 1270712309429.7}, {'GDP': 1574145823927.77}, {'GDP': 1803226967966.23}, {'GDP': 1857524312896.41}, {'GDP': 1947919708944.93}, {'GDP': 2210292636189.43}, {'GDP': 2398856598798.89}, {'GDP': 2191241872742.43}, {'GDP': 2134017843247.16}, {'GDP': 2291991045770.29}, {'GDP': 2087077032435.15}, {'GDP': 2141315327318.21}, {'GDP': 2159133919743.77}, {'GDP': 1835899237320.04}, {'GDP': 1875797463583.87}, {'GDP': 1956950469673.29}, {'GDP': 2091117091124.1}, {'GDP': 2004913357800.0}, {'GDP': 1886445268340.71}]"
11,Cyprus,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 489914760.682807}, {'GDP': 576090073.715036}, {'GDP': 734887973.975806}, {'GDP': 964026512.197839}, {'GDP': 1288715209.58084}, {'GDP': 2154311276.94859}, {'GDP': 2087496373.77964}, {'GDP': 2159242416.76942}, {'GDP': 2160364071.19021}, {'GDP': 2278248953.14058}, {'GDP': 2430411900.19194}, {'GDP': 3090734463.27684}, {'GDP': 3704813885.50548}, {'GDP': 4278792597.23965}, {'GDP': 4563482603.5503}, {'GDP': 5591130217.66965}, {'GDP': 5770197348.48485}, {'GDP': 6912150456.32334}, {'GDP': 6590291048.29211}, {'GDP': 7425703928.57143}, {'GDP': 9933133247.08926}, {'GDP': 10011918444.1656}, {'GDP': 9547818700.11403}, {'GDP': 10248617647.0588}, {'GDP': 10497908306.3646}, {'GDP': 9985844486.33365}, {'GDP': 10397897085.6102}, {'GDP': 11420227884.6154}, {'GDP': 14547325028.3126}, {'GDP': 17320552500.0}, {'GDP': 18433411267.2553}, {'GDP': 20072786350.5206}, {'GDP': 23968764029.5647}, {'GDP': 27844698989.3072}, {'GDP': 25945391775.4932}, {'GDP': 25732432719.0773}, {'GDP': 27565469097.9955}, {'GDP': 24978513426.6992}, {'GDP': 23900872625.8467}, {'GDP': 23156850006.6427}, {'GDP': 19842404304.8929}, {'GDP': 20953442550.3653}, {'GDP': 22729184365.1152}, {'GDP': 25309818138.8758}, {'GDP': 24949065263.6292}, {'GDP': 23804340376.9275}]"
12,Latvia,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 5785775812.89218}, {'GDP': 5969114344.05309}, {'GDP': 6521609000.72587}, {'GDP': 7159169546.05028}, {'GDP': 7525408359.35623}, {'GDP': 7949253765.93279}, {'GDP': 8351415939.10902}, {'GDP': 9545172805.82083}, {'GDP': 11749456401.4266}, {'GDP': 14401882398.8552}, {'GDP': 16959313005.6005}, {'GDP': 21517445447.705}, {'GDP': 31004884420.7359}, {'GDP': 35756225697.9974}, {'GDP': 26317286627.7453}, {'GDP': 23869752327.3325}, {'GDP': 28374734038.0031}, {'GDP': 28324787663.6545}, {'GDP': 30436727789.4364}, {'GDP': 31329367172.7409}, {'GDP': 27239653843.5022}, {'GDP': 28052325862.0461}, {'GDP': 30383528686.2906}, {'GDP': 34399206589.8596}, {'GDP': 34055464655.3254}, {'GDP': 33505185228.7067}]"
13,Lithuania,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 7867140395.33705}, {'GDP': 8382519637.46224}, {'GDP': 10118631851.5322}, {'GDP': 11239547690.9797}, {'GDP': 10971583944.7561}, {'GDP': 11524776866.6379}, {'GDP': 12237388001.7264}, {'GDP': 14259781159.0119}, {'GDP': 18781721376.1985}, {'GDP': 22627507451.5648}, {'GDP': 26097677571.8373}, {'GDP': 30183575103.5262}, {'GDP': 39697891351.9431}, {'GDP': 47797551587.8823}, {'GDP': 37388122046.1496}, {'GDP': 37128694028.243}, {'GDP': 43535051482.3869}, {'GDP': 42927454291.478}, {'GDP': 46523420074.4372}, {'GDP': 48533659592.1728}, {'GDP': 41418872976.1196}, {'GDP': 43018087237.5741}, {'GDP': 47640770634.427}, {'GDP': 53696648755.4347}, {'GDP': 54639938780.2352}, {'GDP': 55887271833.0025}]"
14,Luxembourg,"[{'GDP': 703925705.942958}, {'GDP': 704145671.350213}, {'GDP': 741509480.796284}, {'GDP': 791140595.772755}, {'GDP': 903158753.943622}, {'GDP': 921600736.304026}, {'GDP': 968440149.470951}, {'GDP': 974721762.535327}, {'GDP': 1066447130.82052}, {'GDP': 1234878980.502}, {'GDP': 1509155304.55829}, {'GDP': 1572311184.48205}, {'GDP': 1968733388.32371}, {'GDP': 2701874353.136}, {'GDP': 3295860604.8053}, {'GDP': 3233432050.01645}, {'GDP': 3544268547.54441}, {'GDP': 3922895891.95273}, {'GDP': 4884868707.57013}, {'GDP': 5711458447.99119}, {'GDP': 6232005793.90261}, {'GDP': 5231808996.08866}, {'GDP': 4764549708.635}, {'GDP': 4683697830.37475}, {'GDP': 4594891790.00279}, {'GDP': 4738559684.76119}, {'GDP': 6921264222.50316}, {'GDP': 8614215018.9087}, {'GDP': 9750161272.62754}, {'GDP': 10391504914.0049}, {'GDP': 13229247947.8513}, {'GDP': 14321878322.5044}, {'GDP': 16065740276.0351}, {'GDP': 16486900652.9851}, {'GDP': 18325790933.2047}, {'GDP': 21588170498.0843}, {'GDP': 21776609771.987}, {'GDP': 19731912494.3617}, {'GDP': 20209122027.1171}, {'GDP': 22235929043.2559}, {'GDP': 21263514833.2412}, {'GDP': 21272418791.9463}, {'GDP': 23616328816.1114}, {'GDP': 29557325056.4334}, {'GDP': 34685281847.5292}, {'GDP': 37347394602.6614}, {'GDP': 42414308116.9239}, {'GDP': 50888134410.0739}, {'GDP': 55849686538.7432}, {'GDP': 51370543206.4462}, {'GDP': 53212476812.2957}, {'GDP': 60004630234.4135}, {'GDP': 56677961787.0717}, {'GDP': 61739352212.3049}, {'GDP': 66103853236.7572}, {'GDP': 57744457954.7297}, {'GDP': 60691483443.1221}, {'GDP': 64023412339.7075}, {'GDP': 70885325883.0941}, {'GDP': 71104919108.1411}, {'GDP': 73263982103.0119}]"
15,Hungary,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 34753569692.915}, {'GDP': 38730585922.2189}, {'GDP': 40124916940.5945}, {'GDP': 43166678735.2183}, {'GDP': 46425677734.1435}, {'GDP': 46658755151.6017}, {'GDP': 47296952928.7561}, {'GDP': 48706787306.2574}, {'GDP': 49073380173.7159}, {'GDP': 47218405892.4258}, {'GDP': 53749989092.0197}, {'GDP': 67608919144.3684}, {'GDP': 85302003908.042}, {'GDP': 103960017914.058}, {'GDP': 112980947728.383}, {'GDP': 115577256523.599}, {'GDP': 139966001509.592}, {'GDP': 158136326477.965}, {'GDP': 130760312876.683}, {'GDP': 131916516051.985}, {'GDP': 141759722464.002}, {'GDP': 128475498380.379}, {'GDP': 135411698965.109}, {'GDP': 140765018880.633}, {'GDP': 125074286021.14}, {'GDP': 128470534117.954}, {'GDP': 142961605733.026}, {'GDP': 160431092908.646}, {'GDP': 163503650313.081}, {'GDP': 155012927629.087}]"
16,Malta,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 250721821.553678}, {'GDP': 264579879.784878}, {'GDP': 295118249.324933}, {'GDP': 345602025.375393}, {'GDP': 376094108.475331}, {'GDP': 474620439.58496}, {'GDP': 527936988.791275}, {'GDP': 625573345.532174}, {'GDP': 793675169.878579}, {'GDP': 1001300838.32335}, {'GDP': 1250242107.87969}, {'GDP': 1243469360.56838}, {'GDP': 1234518125.0}, {'GDP': 1165771369.00625}, {'GDP': 1101828568.76804}, {'GDP': 1117835285.50512}, {'GDP': 1435079200.34957}, {'GDP': 1751247763.41948}, {'GDP': 2019474244.19359}, {'GDP': 2118574772.11136}, {'GDP': 2547163582.33149}, {'GDP': 2750041434.26295}, {'GDP': 3021910216.71827}, {'GDP': 2709178326.78271}, {'GDP': 2998570146.54095}, {'GDP': 3720400535.01945}, {'GDP': 3822882801.33397}, {'GDP': 3793418418.41842}, {'GDP': 4010571223.3396}, {'GDP': 4121350731.81231}, {'GDP': 4069515579.07114}, {'GDP': 4088368978.34589}, {'GDP': 4470446391.44639}, {'GDP': 5448415500.17071}, {'GDP': 6098092551.07125}, {'GDP': 6416184181.07201}, {'GDP': 6778324049.68009}, {'GDP': 7925371475.49959}, {'GDP': 9090406767.24769}, {'GDP': 8696366907.4743}, {'GDP': 9035932122.49768}, {'GDP': 9638916481.06904}, {'GDP': 9462238211.48657}, {'GDP': 10551661176.7831}, {'GDP': 11626281387.0068}, {'GDP': 11091434483.5238}, {'GDP': 11721521912.7202}, {'GDP': 13221298307.8894}, {'GDP': 14864712990.1631}, {'GDP': 15215714309.0974}, {'GDP': 14647384607.604}]"
17,Netherlands,"[{'GDP': 12276734172.0828}, {'GDP': 13493833739.9949}, {'GDP': 14647057370.1418}, {'GDP': 15891241386.291}, {'GDP': 18699380731.3465}, {'GDP': 21000586933.2041}, {'GDP': 22867203317.4022}, {'GDP': 25087562181.3218}, {'GDP': 27817605743.2503}, {'GDP': 34035946604.1815}, {'GDP': 38164716625.0685}, {'GDP': 44579122807.0175}, {'GDP': 54706557264.4878}, {'GDP': 71840909664.1968}, {'GDP': 87243413394.5405}, {'GDP': 100249523353.085}, {'GDP': 109168720620.103}, {'GDP': 127016990212.804}, {'GDP': 155859695457.323}, {'GDP': 179669405690.432}, {'GDP': 195152092662.381}, {'GDP': 164134217080.279}, {'GDP': 158479527935.958}, {'GDP': 153445465987.182}, {'GDP': 143912664148.352}, {'GDP': 143845822717.622}, {'GDP': 200862095700.666}, {'GDP': 245046310922.541}, {'GDP': 261910508417.884}, {'GDP': 258336705808.999}, {'GDP': 318330511920.61}, {'GDP': 327500327675.625}, {'GDP': 362962872180.451}, {'GDP': 353550169672.52}, {'GDP': 379130260322.073}, {'GDP': 452301674444.139}, {'GDP': 450490196078.431}, {'GDP': 416812740004.518}, {'GDP': 438008220395.468}, {'GDP': 446898572341.786}, {'GDP': 416442786069.652}, {'GDP': 431213422818.792}, {'GDP': 471613965744.401}, {'GDP': 578792325056.433}, {'GDP': 657171591755.649}, {'GDP': 685092650167.89}, {'GDP': 733340860619.747}, {'GDP': 847481522036.682}, {'GDP': 947997656364.435}, {'GDP': 868077243678.8}, {'GDP': 846554894931.084}, {'GDP': 904085980796.018}, {'GDP': 838971306990.906}, {'GDP': 876923518850.405}, {'GDP': 890981311077.658}, {'GDP': 765264949780.999}, {'GDP': 783528181704.567}, {'GDP': 831809944960.879}, {'GDP': 913597086062.599}, {'GDP': 910194347568.626}, {'GDP': 913865395789.886}]"
18,Austria,"[{'GDP': 6592693841.18495}, {'GDP': 7311749633.36229}, {'GDP': 7756110210.11966}, {'GDP': 8374175257.73075}, {'GDP': 9169983885.71185}, {'GDP': 9994070615.85997}, {'GDP': 10887682273.1014}, {'GDP': 11579431668.9165}, {'GDP': 12440625312.8685}, {'GDP': 13582798556.2404}, {'GDP': 15373005557.0257}, {'GDP': 17858486066.7474}, {'GDP': 22059612476.9332}, {'GDP': 29515467706.796}, {'GDP': 35189299911.6608}, {'GDP': 40059206763.056}, {'GDP': 42959976221.5234}, {'GDP': 51545758887.6863}, {'GDP': 62052259073.2493}, {'GDP': 73937296963.4586}, {'GDP': 82058912997.2346}, {'GDP': 71034228443.062}, {'GDP': 71275287569.5733}, {'GDP': 72121016546.6524}, {'GDP': 67985344886.8716}, {'GDP': 69386774408.0872}, {'GDP': 99036164939.1618}, {'GDP': 124168442533.74}, {'GDP': 133339397080.129}, {'GDP': 133105805512.22}, {'GDP': 166463386179.354}, {'GDP': 173794177961.108}, {'GDP': 195078126721.763}, {'GDP': 190379720809.18}, {'GDP': 203535242741.838}, {'GDP': 241038283062.645}, {'GDP': 237250948791.266}, {'GDP': 212790348404.555}, {'GDP': 218259904401.956}, {'GDP': 217185787342.851}, {'GDP': 196799778883.361}, {'GDP': 197337879194.631}, {'GDP': 213377771503.858}, {'GDP': 261695778781.038}, {'GDP': 300904221504.842}, {'GDP': 315974418604.651}, {'GDP': 335998557270.104}, {'GDP': 388691445387.353}, {'GDP': 430294287388.311}, {'GDP': 400172297860.517}, {'GDP': 391892746544.69}, {'GDP': 431120310088.82}, {'GDP': 409425234155.263}, {'GDP': 430068712971.867}, {'GDP': 441996131736.508}, {'GDP': 381817565893.574}, {'GDP': 395568644341.038}, {'GDP': 416207272209.538}, {'GDP': 454872626780.005}, {'GDP': 445075391688.156}, {'GDP': 430947393757.511}]"
19,Poland,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 65977749036.9844}, {'GDP': 85500935934.9901}, {'GDP': 94337050693.2727}, {'GDP': 96045645026.178}, {'GDP': 110803391516.698}, {'GDP': 142292783505.155}, {'GDP': 160193242090.427}, {'GDP': 159357789772.207}, {'GDP': 174685791563.561}, {'GDP': 170031005016.259}, {'GDP': 172219461126.067}, {'GDP': 190905493539.168}, {'GDP': 199072058823.529}, {'GDP': 217827260805.842}, {'GDP': 255110181539.808}, {'GDP': 306144336269.51}, {'GDP': 344622003093.581}, {'GDP': 429028505365.078}, {'GDP': 533609081852.897}, {'GDP': 439737508413.192}, {'GDP': 479834179020.33}, {'GDP': 528301269069.799}, {'GDP': 498523568248.119}, {'GDP': 521016262734.924}, {'GDP': 542477096211.761}, {'GDP': 477811911394.084}, {'GDP': 472630364208.177}, {'GDP': 526508877305.321}, {'GDP': 587408980271.71}, {'GDP': 595862086928.211}, {'GDP': 594164690894.936}]"
20,Portugal,"[{'GDP': 3193200404.37297}, {'GDP': 3417516639.37596}, {'GDP': 3668222357.65702}, {'GDP': 3905734459.72693}, {'GDP': 4235608177.67102}, {'GDP': 4687464054.83455}, {'GDP': 5135387845.97108}, {'GDP': 5740241165.63433}, {'GDP': 6354262628.33537}, {'GDP': 6969025825.62868}, {'GDP': 8108235704.32357}, {'GDP': 9201604240.28269}, {'GDP': 11239117865.0852}, {'GDP': 15090564186.4268}, {'GDP': 17512391475.9274}, {'GDP': 19347607843.1373}, {'GDP': 20332831564.9867}, {'GDP': 21439523310.6338}, {'GDP': 23487614051.0949}, {'GDP': 26622819672.1311}, {'GDP': 32896519823.7885}, {'GDP': 31977276872.9642}, {'GDP': 30527754793.1382}, {'GDP': 27239650741.9472}, {'GDP': 25217969049.5755}, {'GDP': 27115807742.0873}, {'GDP': 38745901353.7059}, {'GDP': 48182925857.4071}, {'GDP': 56347250696.3788}, {'GDP': 60594092182.3275}, {'GDP': 78713860216.5659}, {'GDP': 89233599278.4792}, {'GDP': 107592098307.098}, {'GDP': 95009751901.2592}, {'GDP': 99688641304.3478}, {'GDP': 118122007430.012}, {'GDP': 122630089680.27}, {'GDP': 117016535162.95}, {'GDP': 123946327916.296}, {'GDP': 127427343916.471}, {'GDP': 118310710337.203}, {'GDP': 121498889485.459}, {'GDP': 134156091661.961}, {'GDP': 164862142212.19}, {'GDP': 189034502110.752}, {'GDP': 197180330804.626}, {'GDP': 208581694893.991}, {'GDP': 240190803449.22}, {'GDP': 262344779551.78}, {'GDP': 243701635176.438}, {'GDP': 237880908317.652}, {'GDP': 244797226567.109}, {'GDP': 216236608773.976}, {'GDP': 226369502104.236}, {'GDP': 229596170846.995}, {'GDP': 199313894327.486}, {'GDP': 206286022781.894}, {'GDP': 220811110492.149}, {'GDP': 242194788533.537}, {'GDP': 239510770948.274}, {'GDP': 231226743398.402}]"
21,Romania,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 38413636363.6364}, {'GDP': 40809523809.5238}, {'GDP': 42105263157.8947}, {'GDP': 38995454545.4545}, {'GDP': 28998684210.5263}, {'GDP': 25121666666.6667}, {'GDP': 26362894736.8421}, {'GDP': 30074440483.3837}, {'GDP': 37435317265.1254}, {'GDP': 36937074278.3004}, {'GDP': 35574916294.6429}, {'GDP': 41694118972.5101}, {'GDP': 35952781582.2083}, {'GDP': 37253259016.9976}, {'GDP': 40394824679.1232}, {'GDP': 46066101951.2933}, {'GDP': 57806506024.0964}, {'GDP': 74972669056.5922}, {'GDP': 98452791982.7024}, {'GDP': 122022997508.01}, {'GDP': 174585202805.233}, {'GDP': 214313628965.024}, {'GDP': 174103695930.213}, {'GDP': 166309355234.589}, {'GDP': 183326740143.016}, {'GDP': 170635805316.879}, {'GDP': 190801346194.297}, {'GDP': 199959363430.073}, {'GDP': 177729210874.504}, {'GDP': 188128818486.401}, {'GDP': 211695422578.655}, {'GDP': 241457403085.042}, {'GDP': 249696854574.199}, {'GDP': 248715551366.635}]"
22,Slovenia,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 21352224019.4096}, {'GDP': 21507232648.7252}, {'GDP': 20763101740.6963}, {'GDP': 22146231967.6861}, {'GDP': 22711384311.1404}, {'GDP': 20289627636.6767}, {'GDP': 20876309970.385}, {'GDP': 23489890274.3142}, {'GDP': 29634713641.0968}, {'GDP': 34414784504.2352}, {'GDP': 36206395970.6504}, {'GDP': 39481045038.2637}, {'GDP': 48006372844.2376}, {'GDP': 55552509154.8264}, {'GDP': 50368056404.5568}, {'GDP': 48161250405.2468}, {'GDP': 51516366654.8197}, {'GDP': 46580457470.2769}, {'GDP': 48401896808.3064}, {'GDP': 49930685013.4603}, {'GDP': 43090173394.6913}, {'GDP': 44736333522.4522}, {'GDP': 48469082710.3089}, {'GDP': 54137142149.4799}, {'GDP': 54178877605.9999}, {'GDP': 53589609580.7099}]"
23,Finland,"[{'GDP': 5224102195.52771}, {'GDP': 5921659485.03284}, {'GDP': 6340580854.39073}, {'GDP': 6885920328.66187}, {'GDP': 7766655085.78588}, {'GDP': 8589340019.02985}, {'GDP': 9208524504.87684}, {'GDP': 9368954010.3132}, {'GDP': 8823033880.32993}, {'GDP': 10070766720.5011}, {'GDP': 11357516987.5425}, {'GDP': 12527405512.9298}, {'GDP': 14743186119.8738}, {'GDP': 19472363466.6252}, {'GDP': 24848821490.4679}, {'GDP': 29472623242.2822}, {'GDP': 31849513771.3494}, {'GDP': 33499799321.2336}, {'GDP': 36256160288.8087}, {'GDP': 44465255686.1548}, {'GDP': 53645202422.6968}, {'GDP': 52448332874.07}, {'GDP': 52797582336.2526}, {'GDP': 50973526900.0854}, {'GDP': 52888800949.7428}, {'GDP': 55875863392.1719}, {'GDP': 73531550551.255}, {'GDP': 91594751792.2359}, {'GDP': 109058990760.483}, {'GDP': 119012054870.445}, {'GDP': 141438345513.917}, {'GDP': 127773856785.767}, {'GDP': 112532519246.084}, {'GDP': 89214114708.0254}, {'GDP': 103299943084.804}, {'GDP': 134189814814.815}, {'GDP': 132129174216.93}, {'GDP': 126912152101.707}, {'GDP': 134038718291.055}, {'GDP': 135218410398.466}, {'GDP': 125706651925.557}, {'GDP': 129421029082.774}, {'GDP': 139738377564.465}, {'GDP': 171274266365.688}, {'GDP': 197116960516.514}, {'GDP': 204809103345.355}, {'GDP': 216907539831.891}, {'GDP': 256052559540.104}, {'GDP': 284553976856.599}, {'GDP': 252496526813.004}, {'GDP': 249181190476.369}, {'GDP': 275243697751.011}, {'GDP': 258304834621.605}, {'GDP': 271285280621.373}, {'GDP': 274497230802.958}, {'GDP': 234440080998.273}, {'GDP': 240607907010.383}, {'GDP': 255016517537.983}, {'GDP': 275580448365.235}, {'GDP': 268782471380.392}, {'GDP': 269751312854.475}]"
24,Sweden,"[{'GDP': 15822585033.5764}, {'GDP': 17212686614.5726}, {'GDP': 18667251380.0746}, {'GDP': 20204870629.7441}, {'GDP': 22532416750.0125}, {'GDP': 24795499685.775}, {'GDP': 26971486546.2848}, {'GDP': 29275995674.6888}, {'GDP': 31066819929.2853}, {'GDP': 33738102482.1558}, {'GDP': 38092452060.6201}, {'GDP': 41566412922.6087}, {'GDP': 48954145808.8359}, {'GDP': 59404966684.2214}, {'GDP': 66013338964.725}, {'GDP': 82885397620.5385}, {'GDP': 89362071672.9034}, {'GDP': 94468740851.4816}, {'GDP': 104442351222.751}, {'GDP': 123386410160.715}, {'GDP': 142092068280.689}, {'GDP': 129686938223.328}, {'GDP': 114380557730.876}, {'GDP': 105014356666.797}, {'GDP': 109201362581.3}, {'GDP': 114123537581.794}, {'GDP': 150498057723.623}, {'GDP': 183009638350.893}, {'GDP': 206986674500.588}, {'GDP': 217948315624.564}, {'GDP': 261846194498.885}, {'GDP': 274229034311.699}, {'GDP': 284321115594.629}, {'GDP': 212953336588.123}, {'GDP': 229033566614.826}, {'GDP': 267305875261.099}, {'GDP': 291743811512.079}, {'GDP': 268146144677.73}, {'GDP': 270809066780.714}, {'GDP': 274072182416.731}, {'GDP': 262835454366.855}, {'GDP': 242395852494.409}, {'GDP': 266849061835.659}, {'GDP': 334337212322.076}, {'GDP': 385118044877.465}, {'GDP': 392218088878.779}, {'GDP': 423093437423.762}, {'GDP': 491252589217.021}, {'GDP': 517706149201.196}, {'GDP': 436537014293.554}, {'GDP': 495812558843.31}, {'GDP': 574094112972.733}, {'GDP': 552483727282.802}, {'GDP': 586841821796.891}, {'GDP': 581964017237.095}, {'GDP': 505103781349.757}, {'GDP': 515654671469.547}, {'GDP': 541018749769.097}, {'GDP': 555455371487.089}, {'GDP': 533879529188.454}, {'GDP': 541063604339.715}]"
